samples,numpy_fasterpam,memmap_fasterpam,memmap_fasterpam_clara
10000,1.397735107421875,1.05291748046875,0.8226991352282073
10000,1.38930615234375,1.0585880279541016,0.8230329583452635
10000,1.3946908617776537,1.0584272366125607,0.8230603470085817
10000,1.384214093608241,1.0474491119384766,0.8227574759667072
20000,3.5086639051492505,2.1296850608213105,1.2042550834820425
20000,3.494306103936557,2.106373854509489,1.2032463580530464
20000,3.498782413313614,2.1157127911354596,1.2054125536669482
20000,3.5002931761510165,2.1150941901250717,1.2050097958072201
20000,3.511997529830056,2.1262382050391335,1.2026524198228035
20000,3.5085958429680018,2.125705000687343,1.2077476487816552
20000,3.5059425967863236,2.1170576176371143,1.2063877556913642
20000,3.5075125758096317,2.111925959587097,1.207020257108955
20000,3.498122638717121,2.121678178327797,1.2054624163697822
20000,3.487578553419847,2.1183097909349913,1.2087147761484514
30000,6.923014361159246,3.6017371260024045,1.7697371059719198
30000,6.907998611464496,3.6106130122463975,1.772399440515994
30000,6.955181755262987,3.641358557519141,1.7747214852625106
30000,6.919781694579853,3.615924391552757,1.774009948914865
30000,6.926780392141903,3.6530050463534436,1.7724242869384619
30000,6.927587742779329,3.658101260007083,1.7761304242474896
30000,6.94417408633362,3.656951223438662,1.7765426954963717
30000,6.941929066471413,3.6707077646643165,1.7733081260217791
30000,6.923137899758159,3.651876260277042,1.7735178459203984
30000,6.937122732964214,3.678777992392047,1.7746927366554022
40000,11.210986458561221,5.332239002053029,2.2271838912308044
40000,11.26897615937983,5.173968462406087,2.252955560369806
40000,11.27973121569105,5.144202792059565,2.240367925734747
40000,11.244344762393407,5.141456112519873,2.250866216423305
40000,11.294683713863183,5.170750946598383,2.2513040442799412
40000,11.262192629313725,5.172904061608007,2.2382499170667343
40000,11.252637928166711,5.177829613919451,2.2183930612023857
40000,11.234155109754306,5.219111131271448,2.2546384995201643
40000,11.267552414101727,5.301928763497377,2.23957145857985
40000,11.263542501005182,5.338255291737577,2.242420979168104
