samples,numpy_fasterpam,memmap_fasterpam,memmap_fasterpam_clara
5000,1.6974867089884356,1.7225360000156797,1.99714733401197
5000,1.7179407500079833,1.7565142500097863,2.002948582987301
5000,1.718892834003782,1.7419498329982162,1.9942927079973742
5000,1.6966122500016354,1.7639726249908563,1.98926245898474
7000,1.962743332987884,2.071631416998571,2.4190930829790886
7000,1.9709620420180727,2.047007625020342,2.416016375005711
7000,1.9496562920103315,2.036546167015331,2.430553541984409
7000,1.945162749994779,2.058361875009723,2.4073636250104755
7000,1.9683295830036514,2.0248559169995133,2.457799583004089
7000,1.9862134580034763,2.0369249579962343,2.433286915998906
7000,1.9617548339883797,2.0461866249970626,2.4241633750207257
7000,1.9484107499883976,2.0574735830014106,2.4141875419882126
7000,1.9457558330032043,2.071277500013821,2.400936374993762
7000,1.9668265829968732,2.041138417000184,2.4155860419850796
10000,2.6913761659816373,2.554703874979168,3.4594597080140375
10000,2.7038389579975046,2.4510703340056352,3.4140853340213653
10000,2.7097679169964977,2.4404119579994585,3.4739033750083763
10000,2.7008829999831505,2.445455207984196,3.4243602089991327
10000,2.705038540996611,2.4927226250001695,3.4459097500075586
10000,2.711904499999946,2.4449484159995336,3.4601932500081602
10000,2.6963212919945363,2.468813041021349,3.4162435829930473
10000,2.700301041972125,2.467979709006613,3.4329438749991823
10000,2.706763249996584,2.443063208978856,3.4312231249932665
10000,2.6956266250053886,2.4479597920144442,3.73831745897769
20000,7.079089125007158,7.415641832980327,7.482877209025901
20000,7.098176707979292,6.957450999994762,7.519158250011969
20000,7.0835341660131235,7.377903416985646,7.497302165982546
20000,7.041339916002471,7.359930541977519,7.387523209006758
20000,7.119908124994254,7.4128202499996405,7.421804374986095
20000,7.124876917019719,7.3788590419862885,7.518213834002381
20000,7.108357958000852,7.347249916987494,7.512619125016499
20000,7.109251124988077,7.010076957987621,7.506029125011992
20000,7.082192583999131,7.396507208992261,7.487036834005266
20000,7.076847749995068,7.369668166997144,7.618054334016051
30000,13.145576333015924,25.14793191701756,19.172517833008897
30000,13.181240667006932,24.783985500020208,19.675963249988854
30000,13.366244458011352,23.46493862499483,19.336612667015288
30000,13.330241332994774,25.019214500003727,19.70668000000296
30000,13.400525583012495,23.242177333013387,19.733549458003836
30000,13.496408957988024,23.473967707977863,19.814351582987
30000,13.602983917022357,23.644926042004954,19.902809958002763
30000,13.661225000018021,23.11501337500522,19.823661208996782
30000,13.601346500014188,23.48992104199715,19.88511525001377
30000,13.699032500007888,23.119989166007144,19.84709329198813
40000,31.500002291984856,48.29164250000031,32.40027941597509
40000,31.031487166997977,52.171294250001665,31.713330333004706
40000,31.17553633399075,53.31020116599393,31.74628395799664
40000,31.25024433300132,53.55622262501856,31.841689249995397
40000,31.176679249998415,54.16154841601383,32.150039458007086
40000,31.26083950002794,54.186269124998944,32.06862204201752
40000,31.988955457985867,53.570611958013615,32.18311499999254
40000,32.22307962499326,52.88339979198645,32.86414324998623
40000,32.96689637500094,53.24324854099541,31.901092499989318
40000,32.10924283397617,53.38912579099997,34.145685750001576
